date,title,author,tags,url
2020-07-09,Sněmovna dnes podpořila 13 pirátských návrhů na státní vyznamenání,Mediální odbor,sněmovna celostátní,https://pirati.cz/tiskove-zpravy/navrhy-na-vyznamenani.html
2020-07-20,"Piráti upozorňují na další předraženou IT zakázku, ministerstvo financí má v plánu zbytečně promrhat desítky milionů",,legislativa digitalizace ochrana-obcanu,https://pirati.cz/tiskove-zpravy/predrazena-it-zakazka-na-ministerstvu-financi.html
2020-07-21,"Ministr kultury odvolal šéfa Národní knihovny, důvodem jsou i podezřelé zakázky. Na problémy Piráti dlouhodobě upozorňují",,legislativa kultura sněmovna,https://pirati.cz/tiskove-zpravy/odvolani-sefa-narodni-knihovny.html
2020-07-27,Ministerstvo práce chce vyhodit dalších 600 milionů za nechvalně známý systém pro výplatu sociálních dávek. Piráti kritizují předraženost,"""Ondřej Profant""",vláda digitalizace sociální-práce,https://pirati.cz/tiskove-zpravy/pirati-kritizuji-predrazeny-system-davek.html
2020-08-17,Cestou z krize je zvýšení digitální kvality života,,evropská-unie digitalzace,https://pirati.cz/tiskove-zpravy/digitalni-kvalita-zivota.html
2020-09-04,Piráti budou opět součástí Million Marihuana March. Kromě průvodu se zúčastní i debat s odborníky na Žofíně ,,konopí legalizace,https://pirati.cz/tiskove-zpravy/pirati-na-milion-marihuana-march-2020.html
2020-09-17,Piráti varují před českou verzí směrnice o autorských právech. Chybí v ní ochrana svobody projevu i parodií,Mediální odbor,autorska-prava eu svoboda-projevu,https://pirati.cz/tiskove-zpravy/Pirati-varuji-pred-ceskou-verzi-smernice-o-autorskych-pravech.html
2020-10-01,"Kam šly loni peníze daňových poplatníků? Piráti přiměli vládu, aby složila veřejnosti účty",,finance sněmovna,https://pirati.cz/tiskove-zpravy/ekonomika-statni-zaverecny-ucet.html
2020-10-01,"Vláda tvoří zákony na koleně, nevyhodnocuje řádně jejich dopady, ukázal průzkum. Piráti vyzývají premiéra k okamžité nápravě",,legislativa sněmovna,https://pirati.cz/tiskove-zpravy/vlada-dela-zakony-na-koleni.html
2020-10-07,Soudní dvůr Evropské unie zakázal plošné šmírování uživatelů. Piráti volají po změně českého zákona,,cenzura digitalizace právo-a-justice lidská-práva,https://pirati.cz/tiskove-zpravy/eu-soudni-dvur-zakazal-plosne-smirovani.html
2020-10-15,"Komentář Ondřeje Profanta: Vláda o blížící se pohromě věděla, ale řídila se mediálním obrazem. Ať vláda nemehel naslouchá odborníkům",Ondřej Profant,kontrola-moci-a-mocných vláda zdravotnictví,https://pirati.cz/tiskove-zpravy/blizici-se-kolaps-vlada-znala-data.html
2020-10-20,Přichází nová éra Internetu. Piráti k hlasování Evropského parlamentu o změně jeho pravidel,,evropská-unie digitalizace,https://pirati.cz/tiskove-zpravy/zmena-pravidel-internetu.html
2020-10-26,Bezpečnost a soukromí v ohrožení. Piráti jasně proti šmírování v šifrované komunikaci,,digitalizace cenzura kotrola-moci-a-mocných,https://pirati.cz/tiskove-zpravy/pirati-odmitaji-smirovani-v-sifrovane-komunikaci.html
2020-10-29,Poslanci Pirátů a STAN dnes interpelují ministry online. Dotazy na členy vlády jim pokládají na sociálních sítích,,sněmovna digitalizace kontrola-moci-a-mocných,https://pirati.cz/tiskove-zpravy/interpelace-socialni-site.html
2020-10-30,"Piráti navrhli 30 opatření, jak zbrzdit pandemii a účinně pomoci občanům, živnostníkům i firmám. Vyzývají vládu k jejich zavedení",,sněmovna legislativa koronavirus finance,https://pirati.cz/tiskove-zpravy/opatreni-na-zbrzdeni-pandemie.html
2020-10-30,"Piráti prosadili ve Sněmovně část opatření proti koronaviru. Mají zmírnit krizi a ulevit školám, zdravotnímu systému i lépe ochránit občany",,sněmovna koronavirus zdravotnictví školství,https://pirati.cz/tiskove-zpravy/pirati-prosadili-opatreni-ve-snemovne.html
2020-11-10,Stop zbytečnému nošení dokladů i krizová pomoc přes internet: Výbor podpořil návrhy Pirátů k digitalizaci,,digitalizace internet,https://pirati.cz/tiskove-zpravy/Stop-zbytecnemu-noseni-dokladu-pirati-prosadili-navrhy-k-digitalizaci.html
2020-11-19,Komentář Ondřeje Profanta: Ústavní soud podpořil rizikový sběr osobních dat. Piráti varují před zneužitím informací o zdravotním stavu občanů,Ondřej Profant,zdravotnictví digitalizace egovernment,https://pirati.cz/tiskove-zpravy/informace-o-zdravotnim-stavu-hrozi-zneuziti.html
2020-12-01,"Rozpočet navržený vládou nelze opravit, nepočítá s daňovou změnou, uvedli na brífinku Piráti. Kritizovali i kolaps e-shopu s dálničními známkami za stamiliony a navrhli zlepšení",,sněmovna legislativa finance životní-prostředí doprava zdravotnictví,https://pirati.cz/tiskove-zpravy/brifink-72-rozpocet-nefunkcni-eshop.html
2020-12-02,V zastupitelském klubu Pirátů Praha 11 došlo k personální obměně,Martin Muzikant,,https://praha11.pirati.cz/tiskove-zpravy/personalni-zmena.html
2020-12-08,Ministerstvo vnitra nezvládlo včas zrealizovat projekty e-Sbírka a e-Legislativa. Digitální tvorba zákonů se už podruhé odsouvá,,právo-a-justice digitalizace sněmovna,https://pirati.cz/tiskove-zpravy/e-sbirka-se-opet-dklada-vnitro-se-vzmlouva.html
2020-12-09,"Komentář Ondřeje Profanta: Občané mají právo komunikovat s úřady online, vláda ale v realizaci zcela selhává. Nezvládla ani první krok, Piráti chtějí nápravu",Ondřej Profant,digitalizace vláda,https://pirati.cz/tiskove-zpravy/obcane-maji-pravo-komunikovat-online-vlada-selhava-v-realizaci.html
